timestamp,energy_net,energy_total,electricity_net,electricity_total,fuelOil_total,naturalGas_total,propane_total
"(1, 0)",169.00018888548388,182034.96574435485,52.864620222741934,41476.14425201613,25.027696732169357,111209.04819258065,29324.32631185484
"(1, 1)",229.3164000733871,179603.52907741934,108.00214769241936,37468.62800225806,24.32552030475806,112492.40065451612,29618.35167467742
"(1, 2)",209.40594997258066,175265.51228790323,38.97528237209677,35104.24404766129,15.906842692741934,111215.74833967742,28929.406722903226
"(1, 3)",186.31882395564514,175168.7052217742,43.24381780419355,34554.134103225806,19.193966899217745,111867.72287129033,28728.37939185484
"(1, 4)",168.5475225814516,179444.34847580644,37.29793930620968,34194.42309887097,22.11312089520968,115596.6614066129,29628.84426233871
"(1, 5)",178.36654715241934,185526.48051774193,44.15571444080645,35527.99089475807,13.523334279516128,120477.29805024194,29505.61086887097
"(1, 6)",187.11199146209677,195678.42770887096,49.75401777741936,37020.832079274194,23.72291901523387,128552.48834612904,30081.05847169355
"(1, 7)",270.45352341370966,205925.69920483872,125.49611336766128,38757.423040241934,21.33712152217742,133275.0351396774,33872.016297016125
"(1, 8)",217.69357754274193,219163.36614435483,78.54808159733871,42360.12357370968,33.32104700798387,139606.88847338708,37162.33778096775
"(1, 9)",242.82886120967743,225140.5408346774,107.16445249258064,45568.11345548387,29.41529793267742,142673.38564491936,36869.051219677414
"(1, 10)",251.2486833580645,218810.91306774196,110.9311518773387,45693.09601709678,30.54438846830645,137681.9384691129,35404.93210524194
"(1, 11)",141.9014436645161,200237.49043629033,6.754283652322581,43100.614885241936,21.344561041758066,124952.25411766129,32163.450511612904
"(1, 12)",127.98438698556451,178643.38836451614,3.0774070654274195,39638.16874064516,24.873183583064517,109616.81707508065,29363.248174354838
"(1, 13)",127.76406267903225,157899.52408709677,11.231754718999998,36770.78299177419,28.54544612330645,95048.14639024193,26051.552943548388
"(1, 14)",160.26332863935482,143523.03056612902,12.717736176153224,34864.22387120968,27.45698681798387,84378.3947307258,24252.800693629033
"(1, 15)",127.56147876975807,128334.28545024194,12.377971691483872,32186.223627338713,25.308109486774196,75228.34858266129,20894.851093467743
"(1, 16)",136.7710348014516,117709.68310862903,40.265996881540325,30097.724530403226,21.46302112620968,69195.28763016129,18395.692449435483
"(1, 17)",141.29884237903224,116060.94595701613,47.89898179233871,30479.80726766129,27.664148894516128,67557.34236637097,17996.064215725804
"(1, 18)",132.75083153346776,122345.15715475807,40.49836454846774,33106.99514653226,35.21812513526613,70279.8463367742,18923.38633258065
"(1, 19)",146.8418585778226,138316.55201467744,49.058867449838715,37928.68473741935,29.679687103330643,79402.0789758871,20955.55473137097
"(1, 20)",152.98976515290323,153304.1891064516,51.08183300814516,41593.806255806456,34.77461516523387,88528.83255443547,23146.707433709675
"(1, 21)",147.25789953903225,162285.02562580645,40.812744330241934,43715.764344112904,32.7533542508871,93121.9242275,25414.512392580644
"(1, 22)",158.5098905139516,169090.82343790322,47.15892006709677,44461.38922411291,31.252287606612903,98977.19605322581,25621.37345403226
"(1, 23)",179.8630356282258,174704.71825322582,66.72076269387098,43496.88767201613,33.14879346112903,104353.56696080645,26821.065057741936
"(2, 0)",166.48160409464285,174299.14712410714,70.72171267357143,40983.14277508929,27.755487421526787,105735.99957133927,27552.060804107143
"(2, 1)",146.36019040276784,172232.25952410715,45.16608140973214,36586.261935803566,28.775560349580356,107311.12142357141,28306.445284017856
"(2, 2)",193.74606262589285,171206.88855625,45.73681879803571,34561.398103303574,22.768534616491074,108493.09259892858,28129.66854580357
"(2, 3)",166.71032851964287,171520.94809821428,42.84421794732143,34078.658044375,17.246201923776784,109489.30721991071,27936.345718660716
"(2, 4)",152.82086347767859,174967.83344464286,40.10943463491071,33600.73898660714,16.373754452205358,112555.93155589285,28793.239290625
"(2, 5)",161.81397846428573,181283.1613294643,46.231890242410714,35034.08756348214,14.800561238035714,117590.32662080356,28642.538405535714
"(2, 6)",164.3742981526786,192225.93537499997,46.33566067625001,36566.37043973214,15.660970576589287,126233.78089160715,29410.477183214283
"(2, 7)",174.57692819375,202339.08284285714,55.597171912142855,38189.303275624996,19.556888857410716,130986.997604375,33143.61336741071
"(2, 8)",199.19996806544643,216030.0486642857,84.11026054491072,41888.71276366071,25.992218502705356,137658.41457410713,36456.58594741071
"(2, 9)",222.59765324285715,219801.3425419643,108.10284964525893,44674.637605357144,31.633665304464284,139380.00496241072,35714.396724910715
"(2, 10)",153.63565464080355,210249.30361428572,40.19807188084821,44501.06209794643,27.056642429142858,131944.93985678573,33776.2309175
"(2, 11)",171.07256585642858,194187.96517946429,54.99616814455357,42569.0987475,34.4341139625,120540.73740464286,31043.89905392857
"(2, 12)",99.72321644467857,176242.99303392856,-6.5872606782678575,39617.90651723214,27.615464989642856,107896.00336241072,28700.993019285717
"(2, 13)",89.12966405360714,158334.10168303573,-7.562270381071429,37168.91346473214,29.14113927899107,95339.2902075,25796.153518125
"(2, 14)",126.74564524491072,146456.10831071428,-1.1306653538928562,35304.45926696428,35.891361003482146,86591.70043116072,24524.025638125
"(2, 15)",102.20243717071428,133683.43240098216,2.477519113267857,33237.667856696426,24.33539198017857,78860.16665232144,21561.288444821428
"(2, 16)",110.26798274267857,123955.46574196429,26.51550777827679,31000.94803642857,27.510289768776783,73896.64194205357,19030.426686785715
"(2, 17)",160.46000588848213,121913.8740475,78.81364464537499,31065.08897419643,27.178924462232143,71977.749814375,18843.869287142858
"(2, 18)",132.62722101910714,127255.81033241072,54.60270525526786,33345.102684375,31.854153116339287,74320.09132482143,19558.648960446426
"(2, 19)",150.23773469830357,138786.13561125,71.82643541821429,37452.284577946426,30.50461564142857,80470.55134973214,20832.773268571425
"(2, 20)",153.4050294611607,153312.23007053573,69.47646746321429,40923.407757410714,31.212330835339287,89257.39048946429,23100.786943482144
"(2, 21)",156.9372695701786,161700.37465357143,65.48562952107143,43376.940766428575,37.10657831399107,93256.47679330358,25029.936826339286
"(2, 22)",159.1541858254464,167803.3702419643,66.65520878928571,44710.56811830357,31.683084987035716,97989.75519714285,25071.462663839284
